state,Office UUID,Office Name,Seat,Office Level,Office Role,Office Category,Body Name,Jurisdiction,Jurisdiction OCDID,OCDID,Electoral District,Person UUID,Official Name,Official Party,party,wnw,race,sex,level,include,state
AL,c13e6096-e0aa-4c64-b9d6-1e1ebe328f0f,Birmingham City Council Member,District 1,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:1,Birmingham City Council District 1,07802561-7ea9-4b7b-b49c-6ec401a0d683,Clinton Woods,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,AL
AL,6b865770-e2cd-423e-bfa0-b0a96b463ab8,Birmingham City Council Member,District 4,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:4,Birmingham City Council District 4,8a058100-7fd8-41c6-b8c6-8d46f555c382,William Parker,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,AL
AL,c28f6b10-c58a-418a-8281-40384263eac5,Birmingham City Council Member,District 6,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:6,Birmingham City Council District 6,2d875891-b877-43b4-b678-362c2fbbe2d7,Crystal Smitherman,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,AL
AL,0dda83cc-014e-41ee-98f2-28b9ef5c35c2,Birmingham City Council Member,District 7,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:7,Birmingham City Council District 7,fba7f72c-6df1-4725-a973-0c337ae6e57d,Wardine Alexander,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,AL
AL,cc8204ba-8ba8-4240-8f29-34a80ade9fd3,Birmingham City Council Member,District 8,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:8,Birmingham City Council District 8,bbde59bd-12be-4f70-a298-f10200926ab8,Steven W. Hoyt,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,AL
AL,e46cf591-d03c-4732-a2e0-408972d1f91c,Birmingham City Council Member,District 9,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:9,Birmingham City Council District 9,5e96725d-f13a-4097-8d24-a005971908cc,John R. Hilliard,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,AL
AL,b8ca4e44-f3fb-47cc-b2c1-1163cb7352d2,Birmingham Mayor,,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham,Birmingham city,894b8e6c-5d37-417f-9b33-db523fe950a6,Randall L. Woodfin,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,AL
AL,126e5cd0-bedb-4ab9-a529-fb382deb9792,Birmingham City Council Member,District 2,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:2,Birmingham City Council District 2,7daa218c-083e-49cf-b68e-8d10c9cf5fc5,Hunter Williams,Nonpartisan,Independent,White,White,Male,City,1,AL
AL,adae1f8a-e48e-46ea-8438-2f211b813c5e,Birmingham City Council Member,District 3,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:3,Birmingham City Council District 3,abd7e8f9-9f29-4157-9c56-199bed7fd63c,Valerie A. Abbott,Nonpartisan,Independent,White,White,Female,City,1,AL
AL,94b9cc99-b55c-4b23-b2b1-50f8322831e4,Birmingham City Council Member,District 5,locality,,,,Birmingham city,,ocd-division/country:us/state:al/place:birmingham/council_district:5,Birmingham City Council District 5,5e991e0a-c2e3-47f3-ad06-873ee12d7349,Darrell O'Quinn,Nonpartisan,Independent,White,White,Male,City,1,AL
AZ,7dfd4f89-195d-4115-ab3d-1b8f854c3247,Chandler City Council Member,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,df93f0d3-6490-4e1e-891c-3b57fdbdd28a,Sam Huang,Nonpartisan,Independent,Non-White,Asian American or Pacific Islander,Male,City,1,AZ
AZ,35730901-c917-45ab-a330-c1410d91d44f,Chandler City Council Member,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,a9c9e02f-c410-479f-af03-38a66cd9826f,René Lopez,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,AZ
AZ,4cadf6fe-ce90-45f6-85dc-6cc13dced73a,Chandler City Council Member,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,42f038f0-7820-45a6-b146-dae6eafe5d64,Mark Stewart,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,62a3cdcb-24d8-4ff1-8e1c-756fa3eab121,Chandler City Council Member,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,2f733847-3f74-455d-a715-aaa8137fa71e,Terry Roe,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,8e02a38e-c161-4b11-99d3-8f3557993725,Chandler City Council Member,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,e82044f0-c4a0-4c44-b791-f3bfec3da3b9,Jeremy McClymonds,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,86117af4-3edd-4334-9567-fac191e4a8ab,Chandler City Council Member,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,ed7197d8-b925-4787-b63f-7facab350f68,Matt Orlando,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,ebb87975-9ad4-471d-adea-60649d70e9ce,Chandler Mayor,,locality,,,,Chandler city,,ocd-division/country:us/state:az/place:chandler,Chandler city,da3c3dcb-c757-4cc3-913d-8505ed7ad1c5,Kevin Hartke,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,5ace70da-64b6-41bf-84f8-88cf87583c73,Gilbert City Council Member,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,0977bfab-3b22-4cd9-82ea-4f4b7d70f411,Bill Spence,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,cb2925f2-2bbc-43dc-b7b1-e8599e223a7b,Gilbert City Council Member,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,268cb846-1e70-4f51-8be4-d17c32327ede,Scott Anderson,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,47198bab-aa6e-4ae6-8c0a-053484af8faf,Gilbert City Council Member,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,050b1c3d-bca3-487e-ab03-082e9c2fe6b7,Jared L. Taylor,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,7ea1a8ec-2c15-4aa5-8fb0-67e932b174d2,Gilbert City Council Member,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,ec9baedf-43e4-4519-87b9-04b21ea7cb41,Brigette Peterson,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,59fb1a9f-78e2-4e08-b4d6-9c02d2b87e51,Gilbert City Council Member,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,b73ac0b0-60b2-4444-bb74-5f7685449bde,Jordan Ray,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,1d8fc17f-d264-4d8a-9ed2-05ab36189dd2,Gilbert City Council Member,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,23d22d86-fa50-4ad9-988f-c4fd8d648e2a,Aimee Yentes,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,99fea52c-7949-4fdf-b9f1-1a9a932fdebf,Gilbert Mayor,,locality,,,,Gilbert town,,ocd-division/country:us/state:az/place:gilbert,Gilbert town,85bc2135-4fc8-4eb5-8d41-e461ea894152,Jenn Daniels,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,6ece65d8-c628-4519-bf9a-b8dd1403f62f,Glendale City Council Member,District Ocotillo,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale/council_district:ocotillo,Glendale City Council District Ocotillo,857e0a01-a1c2-4919-9a1e-f5bd6af19990,Jamie Aldama,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,AZ
AZ,579c29f4-36a3-478e-8f0f-a4d54ba82dd2,Glendale City Council Member,District Barrel,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale/council_district:barrel,Glendale City Council District Barrel,456fbcf8-08f0-4079-92c3-de8ea3e3e3d3,Bart Turner,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,f7afd6b6-2d0f-4cfd-9754-69de1ba2637d,Glendale City Council Member,District Cactus,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale/council_district:cactus,Glendale City Council Cactus District,ac6fe7b1-e804-49e5-8336-a211e811d8f9,Ian Hugh,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,fc579891-03b1-4b3b-97de-6a0520916e0d,Glendale City Council Member,District Cholla,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale/council_district:cholla,Glendale City Council District Cholla,cba6ce6b-d9b5-46bb-9be4-0940f8b8e443,Lauren Tolmachoff,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,693a41d8-870c-4956-9ae0-47942f6613b2,Glendale City Council Member,District Sahuaro,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale/council_district:sahuaro,Glendale City Council Sahuaro District,c83c9570-d570-44e3-83e6-c82e6b127561,Ray Malnar,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,ef920b29-5ded-43f3-8af0-f4f51d624f19,Glendale City Council Member,District Yucca,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale/council_district:yucca,Glendale City Council Yucca District,9a6ae1da-171a-4b1a-b499-bb4ec4f6a29a,Joyce Clark,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,85801903-fbcf-4b46-bef2-597c66f34917,Glendale Mayor,,locality,,,,Glendale city,,ocd-division/country:us/state:az/place:glendale,Glendale city,98fecc79-6c97-4669-8dc7-44a8c99a1b97,Jerry P. Weiers,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,fe6a8feb-7fb7-44f6-babc-8ff20410fcee,Mesa City Council Member,District 3,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa/council_district:3,Mesa City Council District 3,d93f224d-a3eb-4596-a8b9-ffecdabb138b,Francisco Heredia,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,AZ
AZ,50d38e46-5f2a-44c8-aacd-61d3f43bd2cb,Mesa City Council Member,District 5,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa/council_district:5,Mesa City Council District 5,e1e55e80-f124-4e0a-a528-d2f4b9069924,David Luna,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,AZ
AZ,b68a730f-3d76-4221-aa4f-7cfb7d0b7a41,Mesa City Council Member,District 1,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa/council_district:1,Mesa City Council District 1,4809428f-91e8-4919-8679-ad4f144c0221,Mark Freeman,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,01460251-a71b-4cf9-8602-d36c0850f785,Mesa City Council Member,District 2,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa/council_district:2,Mesa City Council District 2,515ee594-8b82-42a3-ac65-6a2c7646d95c,Jeremy Whittaker,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,1fbd6cab-900a-4e78-8c32-0f7aaabbc952,Mesa City Council Member,District 4,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa/council_district:4,Mesa City Council District 4,d700971a-d4ac-4c8a-bcf8-4ef774fbd807,Jen Duff,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,4f227426-ed99-4ae1-8ef2-39275fe749f4,Mesa City Council Member,District 6,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa/council_district:6,Mesa City Council District 6,1ce644af-73e7-4c61-9768-27d06d88de00,Kevin Thompson,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,d3228f61-d22d-4595-a389-5e404a06445b,Mesa Mayor,,locality,,,,Mesa city,,ocd-division/country:us/state:az/place:mesa,Mesa city,81ac95e5-069c-4a1c-b97d-09decb1f3e91,John Giles,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,316c59ce-4fe4-4a42-a4a5-6f0b6238c557,Phoenix Mayor,,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix,Phoenix city,949a1a18-48d8-43db-854f-40bcdd796675,Kate Gallego,Democratic Party,Democratic Party,White,White,Female,City,1,AZ
AZ,905e7c76-16ec-49c7-b9bd-e5b4c11c1d5e,Phoenix City Council Member,District 4,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:4,Phoenix City Council District 4,40a377d5-4b03-402d-8342-ff26764402ea,Laura Pastor,Nonpartisan,Independent,Non-White,Hispanic or Latino,Female,City,1,AZ
AZ,1c1b84fb-ebc6-48b8-8e16-951a7960734f,Phoenix City Council Member,District 5,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:5,Phoenix City Council District 5,a9729115-e5db-4be7-b786-0ac66cb18fde,Betty Guardado,Nonpartisan,Independent,Non-White,Hispanic or Latino,Female,City,1,AZ
AZ,ce0dea60-cca5-47ca-b7c6-19faa8c324c8,Phoenix City Council Member,District 7,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:7,Phoenix City Council District 7,014aad39-755c-4620-bd19-fb4c8ec3e6eb,Michael Nowakowski,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,AZ
AZ,fe586d6a-34e2-4866-aff9-da364247ac83,Phoenix City Council Member,District 8,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:8,Phoenix City Council District 8,02b8e274-6870-4e40-a3c8-1506f9e712f6,Carlos Garcia,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,AZ
AZ,95350e00-5580-4def-9f82-7d3ab51bb782,Phoenix City Council Member,District 1,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:1,Phoenix City Council District 1,851a299b-dfae-45af-b641-71459f467c1e,Thelda Williams,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,0ada6ca9-289d-49ba-bda9-e5c314701ecb,Phoenix City Council Member,District 2,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:2,Phoenix City Council District 2,718d55f2-722e-4f10-97e0-04268fa41ac5,Jim Waring,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,7b9fb4c8-ba5a-4921-bb3e-cbdd26f5327d,Phoenix City Council Member,District 3,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:3,Phoenix City Council District 3,e3009c68-8325-4d84-8559-ecf211595e33,Debra Stark,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,68250470-3d14-40a5-8bb9-94712e7a2467,Phoenix City Council Member,District 6,locality,,,,Phoenix city,,ocd-division/country:us/state:az/place:phoenix/council_district:6,Phoenix City Council District 6,adffde88-3e06-4289-b2d8-3917bd3e2723,Sal DiCiccio,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,ce69d68b-1e35-444d-aa70-be7a9ab0101f,Scottsdale City Council Member,,locality,,,,Scottsdale city,,ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,8d0a3c9b-b3a7-4cc3-a763-4eece1212934,Guy Phillips,Nonpartisan,Independent,White,White,Male,City,1,AZ
AZ,150b4f6f-6218-4baf-8e75-2ca950e2a830,Scottsdale City Council Member,,locality,,,,Scottsdale city,,ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,492c3bf2-3f43-4196-9eb6-82faed660819,Suzanne Klapp,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,c28b6d5f-332e-4ddf-92bc-b8765c9ca976,Scottsdale City Council Member,,locality,,,,Scottsdale city,,ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,67e9f1b4-aca0-487b-958e-7b0e0de93218,Virginia Korte,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,813e2556-5d46-4fd4-bd77-11e6a9c34b0d,Scottsdale City Council Member,,locality,,,,Scottsdale city,,ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,ea39b140-434e-4b2d-8811-20c58f6b06b3,Kathy Littlefield,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,3a5a2e47-ac40-46c5-934e-4809175afc16,Scottsdale City Council Member,,locality,,,,Scottsdale city,,ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,64510338-dced-47db-b5a2-d5500e612c92,Linda Milhaven,Nonpartisan,Independent,White,White,Female,City,1,AZ
AZ,fe4b13ab-a179-4a12-bfd9-f88aebfd8aba,Scottsdale City Council Member,,locality,,,,Scottsdale city,,ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,edb855b4-d4a9-45b7-b79d-d6e5eddc29d3,Solange Whitehead,Nonpartisan,Independent,White,White,Female,City,1,AZ
